codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;total;matched_rows_per_source
20067032;20067032;20067032;;;;;;0;0;0;0;{'1': []}
20006732;20006732;20006732;;;;;;0;0;0;0;{'1': []}
20006732;20006732;20006732;;;;;;0;0;0;0;{'1': []}
20027260;20027260;20027260;;;;;;0;0;0;0;{'1': []}
20083745;20083745;20083745;;;;;;0;0;0;0;{'1': []}
20102968;20102968;20102968;;;;;;0;0;0;0;{'1': []}
19955147;19955147;19955147;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
53444;53444;53444;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20058786;20058786;20058786;;;;;;0;0;0;0;{'1': []}
20154835;20154835;20154835;;;;;;0;0;0;0;{'1': []}
20108845;20108845;20108845;;;4;;;4;0;0;4;{'1': [180, 311]}
20223087;20223087;20223087;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20194427;20194427;20194427;;;;;;0;0;0;0;{'1': []}
53444;53444;53444;;;;;;0;0;0;0;{'1': []}
#N/D;#N/D;ND;;;;;;0;0;0;0;{'1': []}
19993862;19993862;19993862;;;;;;0;0;0;0;{'1': []}
20175246-1;20175246-1;201752461;;;;;;0;0;0;0;{'1': []}
#N/D;#N/D;ND;;;;;;0;0;0;0;{'1': []}
20234571;20234571;20234571;;;;;;0;0;0;0;{'1': []}
19955262;19955262;19955262;;;;;;0;0;0;0;{'1': []}
19955608;19955608;19955608;;;;;;0;0;0;0;{'1': []}
63654;63654;63654;;;;;;0;0;0;0;{'1': []}
1981349-1;1981349-1;19813491;;;;;;0;0;0;0;{'1': []}
20157433;20157433;20157433;;;;;;0;0;0;0;{'1': []}
20194528-01;20194528-01;2019452801;;;;;;0;0;0;0;{'1': []}
19944041;19944041;19944041;;;;;;0;0;0;0;{'1': []}
NSC0C55125-13CO;NSC0C55125-13CO;NSC0C5512513CO;;;;;;0;0;0;0;{'1': []}
20109428;20109428;20109428;;;390;180;;390;180;0;570;{'1': [37, 3495, 6023, 4905, 267, 4621, 5935, 5936, 4989]}
20234551;20234551;20234551;;;;;;0;0;0;0;{'1': []}
20235223;20235223;20235223;;;;;;0;0;0;0;{'1': []}
20217175;20217175;20217175;;;;;;0;0;0;0;{'1': []}
20234171;20234171;20234171;;;;;;0;0;0;0;{'1': []}
20071181-2;20071181-2;200711812;;;;;;0;0;0;0;{'1': []}
20071182-3;20071182-3;200711823;;;;;;0;0;0;0;{'1': []}
19955262;19955262;19955262;;;;;;0;0;0;0;{'1': []}
19955608;19955608;19955608;;;;;;0;0;0;0;{'1': []}
63654;63654;63654;;;;;;0;0;0;0;{'1': []}
1981349-1;1981349-1;19813491;;;;;;0;0;0;0;{'1': []}
20157433;20157433;20157433;;;;;;0;0;0;0;{'1': []}
20194528-01;20194528-01;2019452801;;;;;;0;0;0;0;{'1': []}
20031822-4;20031822-4;200318224;;;;;;0;0;0;0;{'1': []}
20058363;20058363;20058363;;;;;;0;0;0;0;{'1': []}
19967652;19967652;19967652;;;;;;0;0;0;0;{'1': []}
20054465-1;20054465-1;200544651;;;60;;;60;0;0;60;{'1': [4455]}
226679-4;226679-4;2266794;;;;;;0;0;0;0;{'1': []}
20014490-1;20014490-1;200144901;;;;;;0;0;0;0;{'1': []}
56106-3;56106-3;561063;;;;;;0;0;0;0;{'1': []}
44969;44969;44969;;;;;;0;0;0;0;{'1': []}
227376;227376;227376;;;;;;0;0;0;0;{'1': []}
227365;227365;227365;;;;;;0;0;0;0;{'1': []}
33037;33037;33037;;;;;;0;0;0;0;{'1': []}
20070206;20070206;20070206;;;;;;0;0;0;0;{'1': []}
22899-2;22899-2;228992;;;;;;0;0;0;0;{'1': []}
33038;33038;33038;;;;;;0;0;0;0;{'1': []}
51612;51612;51612;;;;;;0;0;0;0;{'1': []}
20133287;20133287;20133287;;;;;;0;0;0;0;{'1': []}
20015207;20015207;20015207;;;;;;0;0;0;0;{'1': []}
20015216;20015216;20015216;;;;;;0;0;0;0;{'1': []}
30051;30051;30051;;;;;;0;0;0;0;{'1': []}
20075633;20075633;20075633;;;;;;0;0;0;0;{'1': []}
20040082-6;20040082-6;200400826;;;;;;0;0;0;0;{'1': []}
42722;42722;42722;;;;;;0;0;0;0;{'1': []}
19974623;19974623;19974623;;;;;;0;0;0;0;{'1': []}
20001059;20001059;20001059;;;;;;0;0;0;0;{'1': []}
20030709;20030709;20030709;;;;;;0;0;0;0;{'1': []}
19943015;19943015;19943015;;;;;;0;0;0;0;{'1': []}
19943979;19943979;19943979;;;;;;0;0;0;0;{'1': []}
20030795;20030795;20030795;;;;;;0;0;0;0;{'1': []}
20027645;20027645;20027645;;;;;;0;0;0;0;{'1': []}
20009747;20009747;20009747;;;;;;0;0;0;0;{'1': []}
19930427;19930427;19930427;;;;;;0;0;0;0;{'1': []}
19960116;19960116;19960116;;;;;;0;0;0;0;{'1': []}
19974622;19974622;19974622;;;;;;0;0;0;0;{'1': []}
20008603;20008603;20008603;;;;;;0;0;0;0;{'1': []}
20027702;20027702;20027702;;;;;;0;0;0;0;{'1': []}
19930429-6;19930429-6;199304296;;;;;;0;0;0;0;{'1': []}
20001113;20001113;20001113;;;;;;0;0;0;0;{'1': []}
20018308-6;20018308-6;200183086;;;;;;0;0;0;0;{'1': []}
20029778;20029778;20029778;;;;;;0;0;0;0;{'1': []}
19927154;19927154;19927154;;;;;;0;0;0;0;{'1': []}
20062852;20062852;20062852;;;;;;0;0;0;0;{'1': []}
20029777;20029777;20029777;;;;;;0;0;0;0;{'1': []}
20029760;20029760;20029760;;;;;;0;0;0;0;{'1': []}
20006244;20006244;20006244;;;;;;0;0;0;0;{'1': []}
20143914;20143914;20143914;;;;;;0;0;0;0;{'1': []}
20029758;20029758;20029758;;;;;;0;0;0;0;{'1': []}
19908543;19908543;19908543;;;;;;0;0;0;0;{'1': []}
19908545;19908545;19908545;;;;;;0;0;0;0;{'1': []}
19983582;19983582;19983582;;;;;;0;0;0;0;{'1': []}
20051082;20051082;20051082;;;;;;0;0;0;0;{'1': []}
19943741-1;19943741-1;199437411;;;1810;200;;1810;200;0;2010;{'1': [6273, 4098, 4099, 1924, 3334, 1927, 1928, 3724, 6541, 1941, 3356, 1953, 940, 3386, 2364, 4673, 4546, 3666, 6621, 7267, 6131, 6132, 6900, 7167]}
20024899;20024899;20024899;;;;;;0;0;0;0;{'1': []}
20035350;20035350;20035350;;;;;;0;0;0;0;{'1': []}
19983585;19983585;19983585;;;;;;0;0;0;0;{'1': []}
20027951;20027951;20027951;;;;;;0;0;0;0;{'1': []}
229538;229538;229538;;;;;;0;0;0;0;{'1': []}
48539-1;48539-1;485391;;;;;;0;0;0;0;{'1': []}
20061730;20061730;20061730;;;;;;0;0;0;0;{'1': []}
47792;47792;47792;;;;;;0;0;0;0;{'1': []}
40407;40407;40407;;;;;;0;0;0;0;{'1': []}
40284-2;40284-2;402842;;;;;;0;0;0;0;{'1': []}
19955370-4;19955370-4;199553704;;;;;;0;0;0;0;{'1': []}
19944041;19944041;19944041;;;;;;0;0;0;0;{'1': []}
93689;93689;93689;;;;;;0;0;0;0;{'1': []}
20014360-4;20014360-4;200143604;;;;;;0;0;0;0;{'1': []}
104739;104739;104739;;;;;;0;0;0;0;{'1': []}
20032093;20032093;20032093;;;;;;0;0;0;0;{'1': []}
20096037;20096037;20096037;;;;;;0;0;0;0;{'1': []}
20014730;20014730;20014730;;;;;;0;0;0;0;{'1': []}
20142533;20142533;20142533;;;;;;0;0;0;0;{'1': []}
20030710-28;20030710-28;2003071028;;;25;;;25;0;0;25;{'1': [1848]}
19943740;19943740;19943740;;;;;;0;0;0;0;{'1': []}
20015775-8;20015775-8;200157758;;;;;;0;0;0;0;{'1': []}
20212115;20212115;20212115;;;;;;0;0;0;0;{'1': []}
57692-1;57692-1;576921;;;;;;0;0;0;0;{'1': []}
2005669-3;2005669-3;20056693;;;;;;0;0;0;0;{'1': []}
200640;200640;200640;;;;;;0;0;0;0;{'1': []}
20218076;20218076;20218076;;;;;;0;0;0;0;{'1': []}
20212115;20212115;20212115;;;;;;0;0;0;0;{'1': []}
1981349;1981349;1981349;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20032011-9;20032011-9;200320119;;;1;;;1;0;0;1;{'1': [5409]}
NSOC06986-21CO;NSOC06986-21CO;NSOC0698621CO;;;;;;0;0;0;0;{'1': []}
20137157;20137157;20137157;;;;;;0;0;0;0;{'1': []}
19908041-3;19908041-3;199080413;;;;;;0;0;0;0;{'1': []}
20007729-6;20007729-6;200077296;;;;;;0;0;0;0;{'1': []}
20154835;20154835;20154835;;;;;;0;0;0;0;{'1': []}
RSA00171802022;RSA00171802022;RSA00171802022;;;;;;0;0;0;0;{'1': []}
2018DM-001850;2018DM-001850;2018DM001850;;;;;;0;0;0;0;{'1': []}
19930311-2;19930311-2;199303112;;;;;;0;0;0;0;{'1': []}
2019RD-0005466;2019RD-0005466;2019RD0005466;;;;;;0;0;0;0;{'1': []}
20193080;20193080;20193080;;;;;;0;0;0;0;{'1': []}
19993862;19993862;19993862;;;;;;0;0;0;0;{'1': []}
20003165-8;20003165-8;200031658;;;;;;0;0;0;0;{'1': []}
20015464;20015464;20015464;;;;;;0;0;0;0;{'1': []}
20024861;20024861;20024861;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
170176;170176;170176;;;;;;0;0;0;0;{'1': []}
20119940-07;20119940-07;2011994007;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20135836-7;20135836-7;201358367;;;;;;0;0;0;0;{'1': []}
20096059-2;20096059-2;200960592;;;;;;0;0;0;0;{'1': []}
NSOC00300-20CO;NSOC00300-20CO;NSOC0030020CO;;;;;;0;0;0;0;{'1': []}
45047-2;45047-2;450472;;;;;;0;0;0;0;{'1': []}
230417-06;230417-06;23041706;;;;;;0;0;0;0;{'1': []}
20178372-1;20178372-1;201783721;;;;;;0;0;0;0;{'1': []}
20078798-1;20078798-1;200787981;;;;;;0;0;0;0;{'1': []}
19993409-9;19993409-9;199934099;;;;;;0;0;0;0;{'1': []}
20072221-3;20072221-3;200722213;;;;;;0;0;0;0;{'1': []}
20007636-2;20007636-2;200076362;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021620;2020DM-0021620;2020DM0021620;;;;;;0;0;0;0;{'1': []}
2020DM-0021561;2020DM-0021561;2020DM0021561;;;;;;0;0;0;0;{'1': []}
2020DM-0021561;2020DM-0021561;2020DM0021561;;;;;;0;0;0;0;{'1': []}
2020DM-0021561;2020DM-0021561;2020DM0021561;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2021DM-0007550-R1;2021DM-0007550-R1;2021DM0007550R1;;;;;;0;0;0;0;{'1': []}
2018DM-0018798;2018DM-0018798;2018DM0018798;;;;;;0;0;0;0;{'1': []}
2020DM-0021561;2020DM-0021561;2020DM0021561;;;;;;0;0;0;0;{'1': []}
2018DM-0018813;2018DM-0018813;2018DM0018813;;;;;;0;0;0;0;{'1': []}
2018DM-0018813;2018DM-0018813;2018DM0018813;;;;;;0;0;0;0;{'1': []}
2018DM-0018813;2018DM-0018813;2018DM0018813;;;;;;0;0;0;0;{'1': []}
2018DM-0018813;2018DM-0018813;2018DM0018813;;;;;;0;0;0;0;{'1': []}
2018DM-0018813;2018DM-0018813;2018DM0018813;;;;;;0;0;0;0;{'1': []}
19928118-2;19928118-2;199281182;;;;;;0;0;0;0;{'1': []}
20178372-1;20178372-1;201783721;;;;;;0;0;0;0;{'1': []}
2014-DM000732-R3;2014-DM000732-R3;2014DM000732R3;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
170196;170196;170196;;;;;;0;0;0;0;{'1': []}
RSA-0032340-2024;RSA-0032340-2024;RSA00323402024;;;;;;0;0;0;0;{'1': []}
RSA-0032334-2024;RSA-0032334-2024;RSA00323342024;;;;;;0;0;0;0;{'1': []}
RSA-0020175-2022;RSA-0020175-2022;RSA00201752022;;;;;;0;0;0;0;{'1': []}
RSA-0007556-2019;RSA-0007556-2019;RSA00075562019;;;;;;0;0;0;0;{'1': []}
20035564;20035564;20035564;;;;;;0;0;0;0;{'1': []}
20048393-1;20048393-1;200483931;;;;;;0;0;0;0;{'1': []}
19933984;19933984;19933984;;;;;;0;0;0;0;{'1': []}
20016868-4;20016868-4;200168684;;;;;;0;0;0;0;{'1': []}
20082591-3;20082591-3;200825913;;;;;;0;0;0;0;{'1': []}
20060251;20060251;20060251;;;;;;0;0;0;0;{'1': []}
20020276-1;20020276-1;200202761;;;;;;0;0;0;0;{'1': []}
20137724-1;20137724-1;201377241;;;;;;0;0;0;0;{'1': []}
36270-3;36270-3;362703;;;;;;0;0;0;0;{'1': []}
20093591-2;20093591-2;200935912;;;;;;0;0;0;0;{'1': []}
35134-1;35134-1;351341;;;;;;0;0;0;0;{'1': []}
20082410-2;20082410-2;200824102;;;;;;0;0;0;0;{'1': []}
20171458-1;20171458-1;201714581;;;;;;0;0;0;0;{'1': []}
19908024-3;19908024-3;199080243;;;;;;0;0;0;0;{'1': []}
20102025-4;20102025-4;201020254;;;;;;0;0;0;0;{'1': []}
20076277-3;20076277-3;200762773;;;78;;;78;0;0;78;{'1': [3106, 4328, 1353, 1994, 2058, 4525, 3762, 1460, 1461, 5494, 3897, 5373, 4414]}
19967651-2;19967651-2;199676512;;;;;;0;0;0;0;{'1': []}
19967652-3;19967652-3;199676523;;;;;;0;0;0;0;{'1': []}
